user_id,parent_asin,rating,timestamp
AFSP4K4T5WBMQ3ZMDZ46QWLVQVBQ,B00001IVB4,5.0,942965209000
AFSP4K4T5WBMQ3ZMDZ46QWLVQVBQ,B00002CF9G,1.0,943618043000
AFSP4K4T5WBMQ3ZMDZ46QWLVQVBQ,B000040OEH,5.0,949968596000
AGYL3DDXAR56G6XEAQVCSQCGZSXA,B00004DITI,4.0,963422874000
AG6XTTBGDOTVNHT22X76U27Y34VQ,B0000488VT,4.0,966110330000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B00000IZ7Q,2.0,966303044000
AH6QSVVGQOYPQWXXXUIE76DRG6SQ,B00001YVIB,5.0,966371302000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B00004DSDE,4.0,966630862000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B001EYUU4M,3.0,966900345000
AH6QSVVGQOYPQWXXXUIE76DRG6SQ,B00000K50Z,1.0,968106904000
AG7VFIHNGHSM34SCRNUQ5MHXUBNQ,B00000PLUW,5.0,968200550000
AEV6PRXU6WSTNZIUTYN3KVWDRR4A,B00004S99O,2.0,968544160000
AEWLQYBQDYWWUWK6UHHTNWO5AHYA,B00004SWM0,4.0,969227758000
AEK5ENP4GNKULEKWEVFCGY3V25XA,B00004T4XI,4.0,969471845000
AEK5ENP4GNKULEKWEVFCGY3V25XA,B0000488VR,2.0,969472421000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B000028U20,3.0,970007806000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B00002EPYD,2.0,970009814000
AGYL3DDXAR56G6XEAQVCSQCGZSXA,B001EYUWGS,5.0,970713612000
AGSTNV5KAPDUGVJ4R3CKWQYO7WYA,B001ELJFK0,5.0,970974025000
AH6QSVVGQOYPQWXXXUIE76DRG6SQ,B00002CF94,5.0,972505252000
AEK5ENP4GNKULEKWEVFCGY3V25XA,B00004U55D,5.0,972586233000
AG6XTTBGDOTVNHT22X76U27Y34VQ,B00004WESW,3.0,973571912000
AE3QLHFJ3IN4P4SGD4DYY2JZNTMQ,B00002EPYJ,5.0,974415456000
AEK5ENP4GNKULEKWEVFCGY3V25XA,B00004U4QA,5.0,974851579000
AEWLQYBQDYWWUWK6UHHTNWO5AHYA,B00004Y57G,5.0,975042289000
AFSP4K4T5WBMQ3ZMDZ46QWLVQVBQ,B001EYUQ2I,4.0,975389473000
AFTJXFG5ROSCLWRRVMAV7O33CDVA,B00004S99R,5.0,975425195000
AH6QSVVGQOYPQWXXXUIE76DRG6SQ,B00004XRBM,5.0,975637192000
AH6QSVVGQOYPQWXXXUIE76DRG6SQ,B00001KUII,5.0,975637541000
AFTJXFG5ROSCLWRRVMAV7O33CDVA,B00004SR5N,4.0,975975002000
AFSP4K4T5WBMQ3ZMDZ46QWLVQVBQ,B001EYUVDM,4.0,976073441000
AFTJXFG5ROSCLWRRVMAV7O33CDVA,B00004S99S,4.0,976232833000
AEK5ENP4GNKULEKWEVFCGY3V25XA,B00004U1PK,4.0,976298521000
AE3QLHFJ3IN4P4SGD4DYY2JZNTMQ,B00004W419,5.0,976313770000
