user_id,video_id,date,hourmin,time_ms,is_click,is_like,is_follow,is_comment,is_forward,is_hate,long_view,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,is_profile_enter,is_rand,tab
4188,135,20220422,1100,1650597406154,0,0,0,0,0,0,0,1735,67680,0,0,0,1,1
4525,2569,20220422,1200,1650599702948,0,0,0,0,0,1,0,5656,182040,0,0,0,1,1
13912,3900,20220422,1400,1650606331311,0,0,0,0,0,0,0,1567,109800,0,0,0,1,1
6069,5604,20220422,1400,1650610134210,0,0,0,0,0,0,0,1588,206066,0,0,0,1,1
25366,1755,20220422,1400,1650610288349,1,0,0,0,0,0,0,16669,71033,0,0,0,1,1
26740,842,20220422,1500,1650610522344,0,0,0,0,0,0,0,1457,271683,0,0,0,1,1
3180,3507,20220422,1500,1650610568253,0,0,0,0,0,0,0,915,46066,0,0,0,1,1
3180,4474,20220422,1500,1650610689095,0,0,0,0,0,0,0,1186,114750,0,0,0,1,1
1025,5878,20220422,1500,1650610801592,0,0,0,0,0,0,0,1265,52400,0,0,0,1,1
9321,472,20220422,1500,1650610819918,0,0,0,0,0,0,0,2806,22783,0,0,0,1,1
7706,6976,20220422,1500,1650610920800,0,0,0,0,0,0,0,825,408583,0,0,0,1,1
7706,5756,20220422,1500,1650610966434,0,0,0,0,0,0,0,1066,77900,0,0,0,1,1
8500,4905,20220422,1500,1650611081106,0,0,0,0,0,0,0,1115,100233,0,0,0,1,1
26740,2424,20220422,1500,1650611082369,1,0,0,0,0,0,0,7736,40433,0,0,0,1,1
413,1573,20220422,1500,1650611181712,0,0,0,0,0,0,0,1151,88500,0,0,0,1,1
5786,3747,20220422,1500,1650611326943,0,0,0,0,0,0,0,1546,144880,0,0,0,1,1
5786,5225,20220422,1500,1650611473762,0,0,0,0,0,0,0,1031,8920,0,0,0,1,1
4188,3280,20220422,1500,1650611565658,0,0,0,0,0,0,0,1229,68750,0,0,0,1,1
18123,4871,20220422,1500,1650611764724,0,0,0,0,0,0,0,1566,221754,0,0,0,1,1
4188,2549,20220422,1500,1650611832925,1,0,0,0,0,0,1,7422,6666,0,0,0,1,1
13130,5869,20220422,1500,1650611930773,0,0,0,0,0,0,0,931,214033,0,0,0,1,1
8500,4845,20220422,1500,1650612075010,0,0,0,0,0,0,0,4705,226666,0,0,0,1,1
4188,7261,20220422,1500,1650612123257,0,0,0,0,0,0,0,1916,13066,0,0,0,1,1
4188,2508,20220422,1500,1650612188834,0,0,0,0,0,0,0,2702,120240,0,0,0,1,1
5786,1095,20220422,1500,1650612203621,0,0,0,0,0,0,0,679,78733,0,0,0,1,1
4188,3146,20220422,1500,1650612217706,0,0,0,0,0,0,0,1571,112850,0,0,0,1,1
26971,3432,20220422,1500,1650612503718,0,0,0,0,0,0,0,1598,10592,0,0,0,1,1
5786,2315,20220422,1500,1650612565668,0,0,0,0,0,0,0,1429,170280,0,0,0,1,1
4188,5974,20220422,1500,1650612925062,1,0,0,0,0,0,0,12955,76733,0,0,0,1,1
9186,4553,20220422,1500,1650613010326,1,0,0,0,0,0,1,58087,85300,0,0,0,1,1
5786,6535,20220422,1500,1650613023960,0,0,0,0,0,0,0,2749,69040,0,0,0,1,1
5786,6857,20220422,1500,1650613052518,0,0,0,0,0,0,0,1240,149933,0,0,0,1,1
26971,655,20220422,1500,1650613054225,0,0,0,0,0,0,0,1331,94060,0,0,0,1,1
3164,3071,20220422,1500,1650613408095,0,0,0,0,0,0,0,1503,6633,0,0,0,1,1
8500,6307,20220422,1500,1650613541271,0,0,0,0,0,0,0,5961,117350,0,0,0,1,1
8500,4149,20220422,1600,1650613656682,0,0,0,0,0,0,0,2841,20240,0,0,0,1,1
19140,4990,20220422,1500,1650613764358,0,0,0,0,0,0,0,1684,32033,0,0,0,1,1
15207,1391,20220422,1500,1650613813464,0,0,0,0,0,0,0,1460,46566,0,0,0,1,1
3180,6254,20220422,1600,1650613976240,0,0,0,0,0,0,0,1238,257760,0,0,0,1,1
3180,3925,20220422,1600,1650614004723,0,0,0,0,0,0,0,1183,182233,0,0,0,1,1
3180,5336,20220422,1600,1650614028173,0,0,0,0,0,0,0,1043,9000,0,0,0,1,1
9321,5218,20220422,1600,1650614098219,0,0,0,0,0,0,0,4058,20633,0,0,0,1,1
7612,2797,20220422,1600,1650614188176,0,0,0,0,0,0,0,1406,183120,0,0,0,1,1
5440,2695,20220422,1600,1650614281595,0,0,0,0,0,0,0,4511,16716,0,0,0,1,1
22158,5956,20220422,1600,1650614952179,0,0,0,0,0,0,0,1484,232720,0,0,0,1,1
25266,4962,20220422,1600,1650615002181,0,0,0,0,0,0,0,734,135840,0,0,0,1,1
22158,5842,20220422,1600,1650615230968,0,0,0,0,0,0,0,5364,245816,0,0,0,1,1
7612,5111,20220422,1600,1650615244640,0,0,0,0,0,0,0,1563,52100,0,0,0,1,1
6069,5411,20220422,1600,1650615250719,0,0,0,0,0,0,0,949,103366,0,0,0,1,1
5786,2935,20220422,1600,1650615562110,1,0,0,0,0,0,0,15622,16733,0,0,0,1,1
6069,6901,20220422,1600,1650615611272,1,0,0,0,0,0,0,11026,170133,0,0,0,1,1
3419,4039,20220422,1600,1650616019620,0,0,0,0,0,0,0,1106,76250,0,0,0,1,1
7612,1887,20220422,1600,1650616104913,0,0,0,0,0,0,0,1295,11966,0,0,0,1,1
5786,274,20220422,1600,1650616213087,0,0,0,0,0,0,0,3288,139333,0,0,0,1,1
6053,7425,20220422,1600,1650616577539,0,0,0,0,0,0,0,2138,262931,0,0,0,1,1
6338,511,20220422,1600,1650616682129,0,0,0,0,0,0,0,1151,34909,0,0,0,1,1
16493,4187,20220422,1600,1650616863117,0,0,0,0,0,0,0,1840,66266,0,0,0,1,1
7110,827,20220422,1600,1650616947247,0,0,0,0,0,0,0,1520,239816,0,0,0,1,1
5786,138,20220422,1600,1650617141209,0,0,0,0,0,0,0,1402,15306,0,0,0,1,1
5786,5803,20220422,1600,1650617157863,1,0,0,0,0,0,0,3218,30033,0,0,1,1,1
9321,1415,20220422,1600,1650617445836,0,0,0,0,0,0,0,4315,64793,0,0,0,1,1
18123,1430,20220422,1700,1650617677009,0,0,0,0,0,0,0,1807,80840,0,0,0,1,1
3180,6215,20220422,1700,1650617821347,0,0,0,0,0,0,0,1257,308041,0,0,0,1,1
5786,406,20220422,1700,1650617895302,0,0,0,0,0,0,0,1000,101433,0,0,0,1,1
5464,4001,20220422,1700,1650618064352,0,0,0,0,0,0,0,1270,31900,0,0,0,1,1
26971,5608,20220422,1700,1650618206830,0,0,0,0,0,0,0,1153,113133,0,0,0,1,1
25366,5432,20220422,1700,1650618379652,1,0,0,0,0,0,0,7256,86720,0,0,0,1,1
5535,3611,20220422,1700,1650618480330,0,0,0,0,0,0,0,966,169433,0,0,0,1,1
10777,7459,20220422,1700,1650618523187,0,0,0,0,0,0,0,2425,198466,0,0,0,1,1
12653,4739,20220422,1700,1650618527811,0,0,0,0,0,0,0,1862,88033,0,0,0,1,1
6836,3852,20220422,1700,1650618533202,0,0,0,0,0,0,0,1505,86766,0,0,0,1,1
25266,4361,20220422,1700,1650618567593,0,0,0,0,0,0,0,658,172466,0,0,0,1,1
6836,234,20220422,1700,1650618591840,0,0,0,0,0,0,0,1416,23040,0,0,0,1,1
11672,2951,20220422,1700,1650618611149,0,0,0,0,0,0,0,1295,18133,0,0,0,1,1
9955,1624,20220422,1700,1650619005045,0,0,0,0,0,0,0,2800,17100,0,0,0,1,1
5786,5163,20220422,1700,1650619171387,0,0,0,0,0,0,0,1819,7333,0,0,0,1,1
6836,5869,20220422,1700,1650619231814,0,0,0,0,0,0,0,1512,214033,0,0,0,1,1
25266,2349,20220422,1700,1650619275409,0,0,0,0,0,0,0,1041,114633,0,0,0,1,1
14651,2999,20220422,1700,1650619458060,0,0,0,0,0,0,0,637,115000,0,0,0,1,1
6179,4580,20220422,1700,1650619674808,1,0,0,0,0,0,1,79107,192880,0,0,0,1,1
21632,4883,20220422,1700,1650619790179,1,0,0,0,0,0,0,15652,77500,0,0,0,1,1
3157,5987,20220422,1700,1650619841889,0,0,0,0,0,0,0,1335,91100,0,0,0,1,1
10601,3735,20220422,1700,1650620067788,0,0,0,0,0,0,0,789,31466,0,0,0,1,1
3180,685,20220422,1700,1650620125901,0,0,0,0,0,0,0,1221,106100,0,0,0,1,1
3180,3249,20220422,1700,1650620350663,0,0,0,0,0,0,0,1684,27000,0,0,0,1,1
25733,1537,20220422,1700,1650620546271,0,0,0,0,0,0,0,1120,42916,0,0,0,1,2
22287,1823,20220422,1700,1650620665232,0,0,0,0,0,0,0,869,90483,0,0,0,1,1
22287,340,20220422,1700,1650620680374,0,0,0,0,0,0,0,1180,168750,0,0,0,1,1
22276,2805,20220422,1700,1650620684652,0,0,0,0,0,0,0,1255,133083,0,0,0,1,1
22927,5792,20220422,1800,1650620711156,0,0,0,0,0,0,0,2852,24583,0,0,0,1,1
3180,4750,20220422,1700,1650620725839,0,0,0,0,0,0,0,1336,0,0,0,0,1,1
22287,1750,20220422,1700,1650620778662,0,0,0,0,0,0,0,3462,8033,0,0,0,1,1
16493,1225,20220422,1800,1650621224099,0,0,0,0,0,0,0,1815,148916,0,0,0,1,1
20020,3723,20220422,1800,1650621386396,0,0,0,0,0,0,0,985,0,0,0,0,1,1
25733,2965,20220422,1800,1650621572908,0,0,0,0,0,0,0,1508,365550,0,0,0,1,2
13912,4176,20220422,1800,1650621704989,1,0,0,0,0,0,0,7001,140551,0,0,0,1,1
22276,5427,20220422,1800,1650622142373,0,0,0,0,0,0,0,2770,111960,0,0,0,1,1
26540,3822,20220422,1800,1650622253043,1,0,0,0,0,0,1,36885,83033,0,5586,0,1,1
